         307803174 function calls (304718001 primitive calls) in 198.495 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.024    0.024  196.479  196.479 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:774(perform_synthesis_epssy)
        4    1.195    0.299  175.724   43.931 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:237(synthesize_top_down)
4711145/3738631   17.294    0.000  110.232    0.000 /Users/celestebarnaby/Desktop/ImageEye/interpreter.py:584(eval_extractor)
    14681    1.903    0.000   92.625    0.006 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:383(<listcomp>)
  7051798    9.450    0.000   90.722    0.000 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:11(get_prog_output)
     3582    1.654    0.000   59.903    0.017 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:278(<listcomp>)
  2182911   44.956    0.000   57.522    0.000 /Users/celestebarnaby/Desktop/ImageEye/interpreter.py:687(<setcomp>)
3058772/1087770   11.080    0.000   55.744    0.000 /Users/celestebarnaby/Desktop/ImageEye/interpreter.py:367(partial_eval)
   214655   20.706    0.000   28.051    0.000 /Users/celestebarnaby/Desktop/ImageEye/interpreter.py:187(eval_map)
   541466   10.804    0.000   14.829    0.000 /Users/celestebarnaby/Desktop/ImageEye/interpreter.py:15(partial_eval_map)
124894034   14.211    0.000   14.211    0.000 {built-in method builtins.isinstance}
        3    0.002    0.001   12.613    4.204 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:524(get_challengeable_query)
        3    0.056    0.019   10.371    3.457 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:458(minimax_prediction_sets)
      508    0.271    0.001   10.276    0.020 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:502(is_distinguishable)
     7200    0.079    0.000   10.073    0.001 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:468(<listcomp>)
  1268244    8.676    0.000    8.676    0.000 /Users/celestebarnaby/Desktop/ImageEye/interpreter.py:381(<setcomp>)
        3    0.001    0.000    8.083    2.694 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:488(occur_number)
  1268244    7.982    0.000    7.982    0.000 /Users/celestebarnaby/Desktop/ImageEye/interpreter.py:383(<setcomp>)
  1268244    6.694    0.000    6.694    0.000 /Users/celestebarnaby/Desktop/ImageEye/interpreter.py:382(<setcomp>)
   773941    4.541    0.000    4.541    0.000 /Users/celestebarnaby/Desktop/ImageEye/interpreter.py:599(<setcomp>)
 19320535    2.745    0.000    2.745    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:229(__str__)
 19417792    2.719    0.000    2.719    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:237(__str__)
290807/198387    2.334    0.000    2.641    0.000 /Users/celestebarnaby/Desktop/ImageEye/interpreter.py:534(update_output_approx)
   415140    2.587    0.000    2.587    0.000 /Users/celestebarnaby/Desktop/ImageEye/interpreter.py:601(<setcomp>)
     7688    1.100    0.000    2.537    0.000 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:392(<listcomp>)
 28445884    2.493    0.000    2.493    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:253(__str__)
 27372014    2.407    0.000    2.407    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:261(__str__)
   799963    1.599    0.000    2.333    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:122(__str__)
 27431749    2.319    0.000    2.319    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:245(__str__)
        3    0.000    0.000    2.194    0.731 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:525(<listcomp>)
        1    0.000    0.000    2.015    2.015 /Users/celestebarnaby/Desktop/ImageEye/utils.py:474(preprocess)
        1    0.003    0.003    2.015    2.015 /Users/celestebarnaby/.pyenv/versions/3.10.9/lib/python3.10/json/__init__.py:274(load)
        1    0.000    0.000    1.861    1.861 /Users/celestebarnaby/.pyenv/versions/3.10.9/lib/python3.10/json/__init__.py:299(loads)
        1    0.000    0.000    1.861    1.861 /Users/celestebarnaby/.pyenv/versions/3.10.9/lib/python3.10/json/decoder.py:332(decode)
        1    1.861    1.861    1.861    1.861 /Users/celestebarnaby/.pyenv/versions/3.10.9/lib/python3.10/json/decoder.py:343(raw_decode)
   668765    0.650    0.000    1.642    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:134(duplicate)
  3231846    1.048    0.000    1.437    0.000 /Users/celestebarnaby/Desktop/ImageEye/utils.py:734(invalid_output)
  5514453    1.403    0.000    1.403    0.000 {method 'keys' of 'dict' objects}
   303647    0.412    0.000    1.218    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:306(__str__)
    10224    0.196    0.000    1.152    0.000 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:148(duplicate)
  3913493    1.095    0.000    1.095    0.000 {method 'items' of 'dict' objects}
   671709    0.708    0.000    0.996    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:108(__init__)
   303647    0.395    0.000    0.731    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:307(<listcomp>)
  1662122    0.678    0.000    0.678    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:98(__init__)
  5289351    0.618    0.000    0.618    0.000 {method 'add' of 'set' objects}
    20473    0.592    0.000    0.617    0.000 /Users/celestebarnaby/Desktop/ImageEye/utils.py:43(duplicate)
   267170    0.219    0.000    0.598    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:310(duplicate)
   529507    0.348    0.000    0.535    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:192(__init__)
  1384909    0.483    0.000    0.483    0.000 /Users/celestebarnaby/Desktop/ImageEye/image_utils.py:25(is_contained)
   135224    0.169    0.000    0.459    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:326(__str__)
   481519    0.370    0.000    0.451    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:196(__str__)
  4212454    0.390    0.000    0.390    0.000 {method 'issubset' of 'set' objects}
   268958    0.272    0.000    0.385    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:300(__init__)
   496702    0.359    0.000    0.359    0.000 {built-in method builtins.sorted}
      880    0.335    0.000    0.337    0.000 {built-in method builtins.print}
   530625    0.315    0.000    0.315    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:270(__str__)
    14680    0.283    0.000    0.283    0.000 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:390(<listcomp>)
14966/2764    0.170    0.000    0.266    0.000 /Users/celestebarnaby/Desktop/ImageEye/utils.py:115(simplify)
   135224    0.133    0.000    0.261    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:327(<listcomp>)
   934784    0.258    0.000    0.258    0.000 {method 'join' of 'str' objects}
  1284729    0.237    0.000    0.237    0.000 /Users/celestebarnaby/Desktop/ImageEye/utils.py:40(__str__)
143264/138152    0.130    0.000    0.217    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:348(__str__)
   106119    0.071    0.000    0.217    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:330(duplicate)
     7200    0.060    0.000    0.192    0.000 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:472(<listcomp>)
    10228    0.049    0.000    0.188    0.000 {built-in method _heapq.heappush}
   802445    0.186    0.000    0.186    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:6(__str__)
    61568    0.181    0.000    0.181    0.000 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:165(__lt__)
        1    0.071    0.071    0.150    0.150 {method 'read' of '_io.TextIOWrapper' objects}
   107238    0.108    0.000    0.148    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:320(__init__)
17426/4024    0.101    0.000    0.145    0.000 /Users/celestebarnaby/Desktop/ImageEye/utils.py:303(construct_prog_from_tree)
19855/4021    0.079    0.000    0.140    0.000 /Users/celestebarnaby/Desktop/ImageEye/utils.py:427(get_type)
   267225    0.128    0.000    0.128    0.000 {method 'union' of 'set' objects}
   777691    0.125    0.000    0.125    0.000 {built-in method builtins.len}
   842354    0.115    0.000    0.115    0.000 {method 'append' of 'list' objects}
    42917    0.036    0.000    0.105    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:351(duplicate)
    96580    0.082    0.000    0.099    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:179(__str__)
3744/3250    0.015    0.000    0.096    0.000 /Users/celestebarnaby/Desktop/ImageEye/utils.py:118(<listcomp>)
   428526    0.089    0.000    0.089    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:162(__str__)
   259596    0.083    0.000    0.083    0.000 {method 'intersection' of 'set' objects}
     4024    0.041    0.000    0.083    0.000 {built-in method _heapq.heappop}
        1    0.000    0.000    0.080    0.080 /Users/celestebarnaby/.pyenv/versions/3.10.9/lib/python3.10/codecs.py:319(decode)
        1    0.080    0.080    0.080    0.080 {built-in method _codecs.utf_8_decode}
    43549    0.051    0.000    0.071    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:342(__init__)
    70960    0.056    0.000    0.071    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:213(__str__)
    10228    0.068    0.000    0.068    0.000 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:138(__init__)
      368    0.024    0.000    0.068    0.000 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:53(get_extractors)
   256770    0.065    0.000    0.065    0.000 {method 'update' of 'set' objects}
    20449    0.063    0.000    0.063    0.000 {method 'copy' of 'dict' objects}
    10224    0.061    0.000    0.061    0.000 {built-in method itertools.tee}
      360    0.003    0.000    0.045    0.000 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:545(<listcomp>)
    31187    0.037    0.000    0.037    0.000 /Users/celestebarnaby/Desktop/ImageEye/utils.py:33(__init__)
  1927/60    0.005    0.000    0.034    0.001 /Users/celestebarnaby/.pyenv/versions/3.10.9/lib/python3.10/copy.py:128(deepcopy)
    11080    0.031    0.000    0.031    0.000 {built-in method builtins.max}
    14194    0.019    0.000    0.025    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:175(__init__)
      628    0.010    0.000    0.024    0.000 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:37(get_attributes)
      368    0.017    0.000    0.024    0.000 /Users/celestebarnaby/Desktop/ImageEye/synthesizer.py:85(<listcomp>)
    12863    0.023    0.000    0.023    0.000 /Users/celestebarnaby/Desktop/ImageEye/utils.py:315(<listcomp>)
   208/60    0.002    0.000    0.022    0.000 /Users/celestebarnaby/.pyenv/versions/3.10.9/lib/python3.10/copy.py:259(_reconstruct)
     8233    0.017    0.000    0.021    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:103(__eq__)
   185/60    0.007    0.000    0.020    0.000 /Users/celestebarnaby/.pyenv/versions/3.10.9/lib/python3.10/copy.py:227(_deepcopy_dict)
    11403    0.015    0.000    0.020    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:209(__init__)
     6528    0.009    0.000    0.020    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:204(duplicate)
    90519    0.019    0.000    0.019    0.000 /Users/celestebarnaby/Desktop/ImageEye/dsl.py:170(__str__)
