Ground Truth Program,Extracted Program,Round,# Objects,FTA Construction Time,# Enumerated Programs
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Map(IsFace, IsObject(Person), GetBelow)",1,3,0.09587607299908996,336
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Map(EyesOpen, IsObject(Person), GetBelow)",2,38,0.09665969910565764,396
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Map(Union[Smile, EyesOpen], IsObject(Person), GetBelow)",3,49,1.3530173959443346,5014
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]",GetFace(248),1,17,0.08820852998178452,10
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]","Map(IsFace, IsFace, GetAbove)",2,30,0.09787167597096413,176
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]","Map(BelowAge(18), EyesOpen, GetNext)",3,35,0.06621841399464756,294
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]","Map(IsFace, GetFace(248), GetAbove)",4,40,0.428596691112034,1070
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]","Map(Map(IsFace, IsFace, GetPrev), IsFace, GetAbove)",5,61,10.864434849005193,16679
"Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]","Intersection[Complement(Smile), Map(IsFace, IsFace, GetAbove)]",6,71,11.093062794068828,21055
"Intersection[Smile, EyesOpen]",IsFace,1,3,0.0008227900834754109,2
"Intersection[Smile, EyesOpen]",Smile,2,6,0.0013001960469409823,5
"Intersection[Smile, EyesOpen]","Intersection[Smile, EyesOpen]",3,13,0.030019141035154462,46
"Intersection[IsFace, Complement(Intersection[Smile, EyesOpen])]",IsFace,1,3,0.0011328259715810418,2
"Intersection[IsFace, Complement(Intersection[Smile, EyesOpen])]",GetFace(308),2,6,0.003001946024596691,10
"Intersection[IsFace, Complement(Intersection[Smile, EyesOpen])]","Intersection[IsFace, Complement(Smile)]",3,10,0.18990730703808367,362
"Intersection[IsFace, Complement(Intersection[Smile, EyesOpen])]","Union[GetFace(8), GetFace(308)]",4,17,0.6124094520928338,1531
"Intersection[IsFace, Complement(Intersection[Smile, EyesOpen])]","Union[BelowAge(18), Intersection[IsFace, Complement(Smile)]]",5,21,3.254479528986849,6021
"Intersection[IsFace, Complement(Intersection[Smile, EyesOpen])]","Complement(Union[Complement(IsFace), Intersection[EyesOpen, Smile]])",6,26,13.163511105929501,46238
"Intersection[Smile, EyesOpen, Complement(GetFace(8))]",IsFace,1,3,0.004597567021846771,2
"Intersection[Smile, EyesOpen, Complement(GetFace(8))]",Smile,2,6,0.0013481699861586094,5
"Intersection[Smile, EyesOpen, Complement(GetFace(8))]",GetFace(51),3,10,0.011638107942417264,10
"Intersection[Smile, EyesOpen, Complement(GetFace(8))]","Map(IsObject(Person), Smile, GetAbove)",4,13,0.23829670902341604,559
"Intersection[Smile, EyesOpen, Complement(GetFace(8))]","Intersection[Smile, Complement(GetFace(8))]",5,17,0.6267414360772818,2017
"Intersection[Smile, EyesOpen, Complement(GetFace(8))]","Intersection[Smile, EyesOpen, Complement(GetFace(8))]",6,24,2.704963332042098,7728
"Union[GetFace(8), Intersection[Smile, EyesOpen]]",IsFace,1,3,0.0027122560422867537,2
"Union[GetFace(8), Intersection[Smile, EyesOpen]]",Smile,2,6,0.004377639037556946,5
"Union[GetFace(8), Intersection[Smile, EyesOpen]]",MouthOpen,3,10,0.0013254010118544102,5
"Union[GetFace(8), Intersection[Smile, EyesOpen]]","Union[Smile, GetFace(8)]",4,15,0.08119714295025915,351
"Union[GetFace(8), Intersection[Smile, EyesOpen]]","Union[GetFace(8), Intersection[Smile, EyesOpen]]",5,22,0.9123055959353223,3767
"Union[Intersection[IsFace, Complement(Smile)], BelowAge(18)]",IsFace,1,3,0.0008148209890350699,2
"Union[Intersection[IsFace, Complement(Smile)], BelowAge(18)]",GetFace(308),2,6,0.001703122048638761,10
"Union[Intersection[IsFace, Complement(Smile)], BelowAge(18)]","Intersection[IsFace, Complement(Smile)]",3,10,0.10351442499086261,362
"Union[Intersection[IsFace, Complement(Smile)], BelowAge(18)]","Intersection[IsFace, Complement(GetFace(51))]",4,15,0.33735131507273763,1906
"Union[Intersection[IsFace, Complement(Smile)], BelowAge(18)]","Union[BelowAge(18), Intersection[IsFace, Complement(Smile)]]",5,18,2.1935077470261604,7502
