GT Prog,Description,Image,Would GT Prog Get Pruned?,Due to False Positives?,Due to False Negatives?,Relevant Labels
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-6.jpg,False,False,False,
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-39.jpg,False,False,False,
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-48.jpg,True,False,True,Person
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-72.jpg,False,False,False,
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-93.jpg,False,False,False,
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-79.jpg,False,False,False,
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-138.jpg,False,False,False,
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-156.jpg,True,False,True,Face
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-103.jpg,False,False,False,
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-101.jpg,True,False,True,EyesOpen
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-88.jpg,False,False,False,
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-49.jpg,True,True,False,Face ID
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-73.jpg,True,False,True,Person
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-66.jpg,False,False,False,
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-89.jpg,False,False,False,
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-77.jpg,False,False,False,
