GT Prog,Description,Image,Would GT Prog Get Pruned?,Due to False Positives?,Due to False Negatives?,Relevant Labels
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-94.jpg,False,False,False,
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-102.jpg,False,False,False,
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-186.jpg,True,True,False,Face Id
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-108.jpg,False,False,False,
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-64.jpg,False,False,False,
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-72.jpg,False,False,False,
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-42.jpg,False,False,False,
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-51.jpg,False,False,False,
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-79.jpg,False,False,False,
"Map(Union[GetFace(34), Smile, EyesOpen], IsObject(Person), GetBelow)","Bodies of faces that have id 34, are smiling, or have eyes open",test_images/wedding/Ana Maria Photography-107.jpg,False,False,False,
"Union[Map(GetFace(8), IsFace, GetNext), Map(GetFace(8), IsFace, GetPrev)]",Faces to the left and right of face with id 8,test_images/wedding/Ana Maria Photography-152.jpg,False,False,False,
"Union[Map(GetFace(8), IsFace, GetNext), Map(GetFace(8), IsFace, GetPrev)]",Faces to the left and right of face with id 8,test_images/wedding/Ana Maria Photography-184.jpg,False,False,False,
"Union[Map(GetFace(8), IsFace, GetNext), Map(GetFace(8), IsFace, GetPrev)]",Faces to the left and right of face with id 8,test_images/wedding/Ana Maria Photography-42.jpg,False,False,False,
"Union[Map(GetFace(8), IsFace, GetNext), Map(GetFace(8), IsFace, GetPrev)]",Faces to the left and right of face with id 8,test_images/wedding/Ana Maria Photography-75.jpg,False,False,False,
"Union[Map(GetFace(8), IsFace, GetNext), Map(GetFace(8), IsFace, GetPrev)]",Faces to the left and right of face with id 8,test_images/wedding/Ana Maria Photography-155.jpg,False,False,False,
"Union[Map(GetFace(8), IsFace, GetNext), Map(GetFace(8), IsFace, GetPrev)]",Faces to the left and right of face with id 8,test_images/wedding/Ana Maria Photography-141.jpg,False,False,False,
"Union[Map(GetFace(8), IsFace, GetNext), Map(GetFace(8), IsFace, GetPrev)]",Faces to the left and right of face with id 8,test_images/wedding/Ana Maria Photography-88.jpg,False,False,False,
"Union[Map(GetFace(8), IsFace, GetNext), Map(GetFace(8), IsFace, GetPrev)]",Faces to the left and right of face with id 8,test_images/wedding/Ana Maria Photography-77.jpg,False,False,False,
"Union[Map(GetFace(8), IsFace, GetNext), Map(GetFace(8), IsFace, GetPrev)]",Faces to the left and right of face with id 8,test_images/wedding/Ana Maria Photography-41.jpg,False,False,False,
"Union[Map(GetFace(8), IsFace, GetNext), Map(GetFace(8), IsFace, GetPrev)]",Faces to the left and right of face with id 8,test_images/wedding/Ana Maria Photography-70.jpg,False,False,False,
"Union[GetFace(8), Map(GetFace(8), GetFace(34), GetAbove)]",Face 8 and face 34 when it is behind face 8,test_images/wedding/Ana Maria Photography-107.jpg,False,False,False,
"Union[GetFace(8), Map(GetFace(8), GetFace(34), GetAbove)]",Face 8 and face 34 when it is behind face 8,test_images/wedding/Ana Maria Photography-100.jpg,False,False,False,
"Union[GetFace(8), Map(GetFace(8), GetFace(34), GetAbove)]",Face 8 and face 34 when it is behind face 8,test_images/wedding/Ana Maria Photography-32.jpg,False,False,False,
"Union[GetFace(8), Map(GetFace(8), GetFace(34), GetAbove)]",Face 8 and face 34 when it is behind face 8,test_images/wedding/Ana Maria Photography-38.jpg,False,False,False,
"Union[GetFace(8), Map(GetFace(8), GetFace(34), GetAbove)]",Face 8 and face 34 when it is behind face 8,test_images/wedding/Ana Maria Photography-176.jpg,False,False,False,
"Union[GetFace(8), Map(GetFace(8), GetFace(34), GetAbove)]",Face 8 and face 34 when it is behind face 8,test_images/wedding/Ana Maria Photography-90.jpg,False,False,False,
"Union[GetFace(8), Map(GetFace(8), GetFace(34), GetAbove)]",Face 8 and face 34 when it is behind face 8,test_images/wedding/Ana Maria Photography-142.jpg,False,False,False,
